RID,state
418300,ALABAMA
418320,ALABAMA
418600,ALABAMA
490101,ALABAMA
1032100,ALASKA
1050210,ALASKA
1090201,ALASKA
931600,ARIZONA
935000,ARIZONA
936400,ARIZONA
950411,ARIZONA
950412,ARIZONA
990401,ARIZONA
990403,ARIZONA
627100,ARKANSAS
690501,ARKANSAS
900000,CALIFORNIA
931200,CALIFORNIA
931400,CALIFORNIA
931500,CALIFORNIA
931700,CALIFORNIA
931800,CALIFORNIA
931810,CALIFORNIA
932000,CALIFORNIA
932030,CALIFORNIA
932040,CALIFORNIA
933300,CALIFORNIA
933800,CALIFORNIA
936100,CALIFORNIA
936200,CALIFORNIA
950600,CALIFORNIA
950611,CALIFORNIA
950612,CALIFORNIA
950613,CALIFORNIA
950614,CALIFORNIA
950615,CALIFORNIA
950621,CALIFORNIA
950622,CALIFORNIA
950623,CALIFORNIA
950624,CALIFORNIA
950625,CALIFORNIA
950626,CALIFORNIA
950627,CALIFORNIA
950631,CALIFORNIA
950632,CALIFORNIA
950633,CALIFORNIA
950634,CALIFORNIA
950635,CALIFORNIA
950636,CALIFORNIA
950637,CALIFORNIA
950641,CALIFORNIA
950642,CALIFORNIA
950643,CALIFORNIA
950644,CALIFORNIA
950645,CALIFORNIA
950646,CALIFORNIA
950647,CALIFORNIA
950651,CALIFORNIA
950652,CALIFORNIA
950653,CALIFORNIA
950654,CALIFORNIA
950661,CALIFORNIA
950662,CALIFORNIA
950663,CALIFORNIA
950664,CALIFORNIA
950665,CALIFORNIA
950667,CALIFORNIA
950671,CALIFORNIA
990000,CALIFORNIA
990611,CALIFORNIA
990612,CALIFORNIA
990613,CALIFORNIA
990614,CALIFORNIA
990615,CALIFORNIA
990634,CALIFORNIA
990636,CALIFORNIA
990641,CALIFORNIA
990642,CALIFORNIA
990651,CALIFORNIA
990652,CALIFORNIA
990653,CALIFORNIA
990654,CALIFORNIA
990655,CALIFORNIA
800000,COLORADO
830500,COLORADO
830600,COLORADO
890000,COLORADO
890801,COLORADO
111500,CONNECTICUT
112000,CONNECTICUT
150900,CONNECTICUT
190901,CONNECTICUT
317020,DELAWARE
317300,DELAWARE
391001,DELAWARE
316120,DISTRICT OF COLUMBIA
391101,DISTRICT OF COLUMBIA
391121,DISTRICT OF COLUMBIA
418800,FLORIDA
419700,FLORIDA
420600,FLORIDA
491200,FLORIDA
400000,GEORGIA
418100,GEORGIA
